CountryName,Bulgaria,Liechtenstein,Malta,Iceland,Romania,Ireland,Portugal,Italy,United Kingdom,Slovenia,Latvia,Croatia,Greece,Hungary,Czech Republic,Sweden,Norway,Lithuania,Slovakia,Spain,Cyprus,Estonia,Denmark,Poland,Netherlands,Finland,Luxembourg,Switzerland,Austria,Belgium,Germany,France
granted,  221,   10,   45,   41, 1052,  624,  641, 5036, 9570,  301,  332,  881,  475,  816,  972, 2769,  965,  473,  401, 8628,   74,  706, 1041, 2799, 6548, 1524,  151, 2735, 2075, 3490,19553,24620
need more info, 126,   4,  28,  20, 520, 286, 330,2350,4160, 118, 133, 335, 235, 237, 298, 996, 406, 172, 127,2517,  30, 204, 340, 871,1595, 416,  42, 751, 563, 909,4195,5897
pending, 29,  1,  4,  5, 49, 55, 16,247,524, 13, 21, 32, 15, 35, 14,111, 42, 23,  2,300,  1, 27, 41, 64,129, 75,  5, 71, 50, 58,489,522
rejected,  421,   20,   77,   71, 1780,  942,  825, 6314,11299,  357,  376, 1026,  432,  842,  921, 2344,  755,  385,  360, 7585,   54,  570,  759, 2047, 5053, 1059,  104, 1772, 1268, 2161,11715,13240
undefined,  0,  0,  0,  0, 38,  7,  2, 55, 45,  1,  2,  0,  5,  6,  4, 12,  1,  0,  2, 35,  1,  2,  3,  8, 16,  7,  1, 11, 13,  7,113,118
