CountryName,Italy,Romania,Hungary,Greece,Bulgaria,Norway,Slovenia,Ireland,United Kingdom,Switzerland,Croatia,Spain,Estonia,Malta,Finland,Iceland,Sweden,Luxembourg,Latvia,Belgium,Denmark,Slovakia,Liechtenstein,Poland,Czech Republic,Lithuania,Germany,Portugal,Austria,Netherlands,France,Cyprus
private_personal_info,14002, 3439, 1936, 1162,  797, 2169,  790, 1914,25598, 5340, 2274,19065, 1509,  154, 3081,  137, 6232,  303,  864, 6625, 2184,  892,   35, 5789, 2209, 1053,36065, 1814, 3969,13341,44397,  160
serious_crime,1953, 111,  13,   9,  15,  71,   8,  67, 734,  46,  36, 178,  33,   2,  46,   4,  81,   2,  17,  97,  32,   5,   1,  42,   9,  12, 149,  18,  10,  60, 256,   0
public_figure,171, 83,179, 72, 17, 43, 14, 14,228,145, 38,119,  5,  3, 32,  0, 71,  6,  4, 50,  6, 12,  0, 79, 28,  7,346,  8, 37, 97,191,  0
political,263,282, 53, 13, 19, 28, 12, 10,118, 36, 31,572, 30,  1, 24,  1, 63,  2,  8, 49, 16,  9,  0, 15, 17,  7,275,  6, 38, 79,224,  2
cp, 88, 17, 30,  5,  4,  5, 14, 22,356, 36,  6, 34,  2,  1, 36,  1, 54,  1,  1, 32, 13,  1,  0, 20,  5,  2, 93, 11,  4, 30,102,  0
